timestamp,subscriber_count_Connected,phoenix_memory_chunksize_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,total_allocated_memory_globalP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,phoenix_memory_chunksize_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,total_allocated_memory_packetP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,phoenix_memory_chunksize_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,phoenix_memory_chunksize_cm_transactionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
2024-10-13 08:28:04.467000008,132,3072,8,127.998046875,39,4096,754,51.18359375,2272,3072,8,159.17578125,3611,4096,3,32,5
2024-10-13 08:28:05.467000008,133,3072,8,127.998046875,39,4096,757,51.18359375,2274,3072,8,159.17578125,3638,4096,3,32,5
2024-10-13 08:28:06.467000008,134,3072,8,127.998046875,39,4096,760,51.18359375,2276,3072,8,159.17578125,3665,4096,3,32,5
2024-10-13 08:28:07.467000008,135,3072,8,127.998046875,39,4096,764,51.18359375,2278,3072,8,159.17578125,3692,4096,3,32,5
2024-10-13 08:28:08.467000008,136,3072,8,127.998046875,39,4096,767,51.18359375,2280,3072,8,159.17578125,3719,4096,3,32,5
2024-10-13 08:28:09.467000008,137,3072,8,127.998046875,39,4096,770,51.18359375,2282,3072,8,159.17578125,3746,4096,3,32,5
2024-10-13 08:28:10.467000008,138,3072,8,127.998046875,39,4096,774,51.18359375,2284,3072,8,159.17578125,3773,4096,3,32,5
2024-10-13 08:28:11.467000008,139,3072,8,127.998046875,39,4096,777,51.18359375,2286,3072,8,159.17578125,3800,4096,3,32,5
2024-10-13 08:28:12.467000008,140,3072,8,127.998046875,39,4096,780,51.18359375,2288,3072,8,159.17578125,3827,4096,3,32,5
2024-10-13 08:28:13.467000008,141,3072,8,127.998046875,39,4096,784,51.18359375,2290,3072,8,159.17578125,3854,4096,3,32,5
2024-10-13 08:28:14.467000008,142,3072,8,127.998046875,39,4096,787,51.18359375,2292,3072,8,159.17578125,3881,4096,3,32,5
2024-10-13 08:28:15.467000008,143,3072,8,127.998046875,39,4096,790,51.18359375,2294,3072,8,159.17578125,3908,4096,3,32,5
2024-10-13 08:28:16.467000008,144,3072,8,127.998046875,39,4096,794,51.18359375,2296,3072,8,159.17578125,3935,4096,3,32,5
2024-10-13 08:28:17.467000008,145,3072,8,127.998046875,39,4096,797,51.18359375,2298,3072,8,159.17578125,3962,4096,3,32,5
2024-10-13 08:28:18.467000008,146,3072,8,127.998046875,39,4096,800,51.18359375,2300,3072,8,159.17578125,3989,4096,3,32,5
2024-10-13 08:28:19.467000008,147,3072,8,127.998046875,39,4096,804,51.18359375,2302,3072,8,159.17578125,4016,4096,3,32,5
2024-10-13 08:28:20.467000008,148,3072,8,127.998046875,39,4096,807,51.18359375,2304,3072,8,159.17578125,4043,4096,3,32,5
2024-10-13 08:28:21.467000008,149,3072,8,127.998046875,39,4096,810,51.18359375,2306,3072,8,159.17578125,4070,4096,3,32,5
2024-10-13 08:28:22.467000008,150,3072,8,127.998046875,39,4096,813,51.18359375,2308,3072,8,159.17578125,4097,4096,3,32,5
2024-10-13 08:28:23.467000008,151,3072,8,127.998046875,39,4096,817,51.18359375,2310,3072,8,159.17578125,4124,4096,3,32,5
2024-10-13 08:28:24.467000008,152,3072,8,127.998046875,39,4096,820,51.18359375,2312,3072,8,159.17578125,4151,4096,3,32,5
2024-10-13 08:28:25.467000008,153,3072,8,127.998046875,39,4096,823,51.18359375,2314,3072,8,159.17578125,4178,4096,3,32,5
2024-10-13 08:28:26.467000008,154,3072,8,127.998046875,39,4096,827,51.18359375,2316,3072,8,159.17578125,4205,4096,3,32,5
2024-10-13 08:28:27.467000008,155,3072,8,127.998046875,39,4096,830,51.18359375,2318,3072,8,159.17578125,4232,4096,3,32,5
2024-10-13 08:28:28.467000008,156,3072,8,127.998046875,39,4096,833,51.18359375,2320,3072,8,159.17578125,4259,4096,3,32,5
2024-10-13 08:28:29.467000008,157,3072,8,127.998046875,39,4096,837,51.18359375,2322,3072,8,159.17578125,4286,4096,3,32,5
2024-10-13 08:28:30.467000008,158,3072,8,127.998046875,39,4096,840,51.18359375,2324,3072,8,159.17578125,4313,4096,3,32,5
2024-10-13 08:28:31.467000008,159,3072,8,127.998046875,39,4096,843,51.18359375,2326,3072,8,159.17578125,4340,4096,3,32,5
2024-10-13 08:28:32.467000008,160,3072,8,127.998046875,39,4096,847,51.18359375,2328,3072,8,159.17578125,4367,4096,3,32,5
2024-10-13 08:28:33.467000008,161,3072,8,127.998046875,39,4096,850,51.18359375,2330,3072,8,159.17578125,4394,4096,3,32,5
2024-10-13 08:28:34.467000008,162,3072,8,127.998046875,39,4096,853,51.18359375,2332,3072,8,159.17578125,4421,4096,3,32,5
2024-10-13 08:28:35.467000008,163,3072,8,127.998046875,39,4096,857,51.18359375,2334,3072,8,159.17578125,4448,4096,3,32,5
2024-10-13 08:28:36.467000008,164,3072,8,127.998046875,39,4096,860,51.18359375,2336,3072,8,159.17578125,4475,4096,3,32,5
2024-10-13 08:28:37.467000008,165,3072,8,127.998046875,39,4096,863,51.18359375,2338,3072,8,159.17578125,4502,4096,3,32,5
2024-10-13 08:28:38.467000008,166,3072,8,127.998046875,39,4096,867,51.18359375,2340,3072,8,159.17578125,4529,4096,3,32,5
2024-10-13 08:28:39.467000008,167,3072,8,127.998046875,39,4096,870,51.18359375,2342,3072,8,159.17578125,4556,4096,3,32,5
2024-10-13 08:28:40.467000008,168,3072,8,127.998046875,39,4096,873,51.18359375,2344,3072,8,159.17578125,4583,4096,3,32,5
2024-10-13 08:28:41.467000008,169,3072,8,127.998046875,39,4096,877,51.18359375,2346,3072,8,159.17578125,4610,4096,3,32,5
2024-10-13 08:28:42.467000008,170,3072,8,127.998046875,39,4096,880,51.18359375,2348,3072,8,159.17578125,4637,4096,3,32,5
